id,datetime,temperature,humidity,heat_index,lstm_temp,lstm_hum,lstm_heat,arima_temp,arima_hum,arima_heat
2026,30-09-2020 23:27:32,22.107082853631486,49.268399197909346,24.959737223552214,23.90167236328125,38.79716873168945,25.7850399017334,25.0,43.41430683499735,25.75453952693921
2027,30-09-2020 23:27:39,22.282703048187585,47.11866513882904,24.992881159109814,23.901674270629883,38.79716491699219,25.7850399017334,25.0,43.41430985452311,25.754537945140488
2028,30-09-2020 23:27:44,22.411615359070943,50.67045270646271,24.93657006844,23.90167236328125,38.797157287597656,25.785037994384766,25.0,43.41431287404864,25.754536363470894
2029,30-09-2020 23:27:51,22.763229503353998,47.925166663650536,24.992881159109814,23.901674270629883,38.79715347290039,25.785037994384766,25.0,43.4143158935739,25.754534781930413
2030,30-09-2020 23:27:56,22.245397812525137,50.21289231518526,24.93657006844,23.90167236328125,38.79715347290039,25.7850399017334,25.0,43.41431891309892,25.754533200519045
2031,30-09-2020 23:28:01,22.50133310725879,47.47805723661258,24.992881159109814,23.901670455932617,38.797149658203125,25.7850399017334,25.0,43.414321932623665,25.75453161923677
2032,30-09-2020 23:28:09,22.81256665974344,47.88038607556604,24.992881159109814,23.901670455932617,38.79714584350586,25.785037994384766,25.0,43.41432495214818,25.754530038083583
2033,30-09-2020 23:28:13,22.361257905210202,49.44213416384378,24.959737223552214,23.901670455932617,38.797142028808594,25.785037994384766,25.0,43.41432797167241,25.75452845705947
2034,30-09-2020 23:28:23,22.281859922943767,49.67802144462874,24.959737223552214,23.901670455932617,38.797142028808594,25.785036087036133,25.0,43.414330991196415,25.754526876164427
2035,30-09-2020 23:28:28,22.49173560510309,50.231345179463744,24.93657006844,23.901670455932617,38.79713821411133,25.785037994384766,25.0,43.41433401072013,25.754525295398434
2036,30-09-2020 23:28:35,22.338171238510252,47.380218140225196,24.992881159109814,23.901668548583984,38.79713439941406,25.785037994384766,25.0,43.41433703024363,25.754523714761486
2037,30-09-2020 23:28:40,22.231084661061743,49.52395565605017,24.959737223552214,23.901668548583984,38.79713439941406,25.785037994384766,25.0,43.41434004976684,25.754522134253573
2038,30-09-2020 23:28:47,22.286452563950967,47.40385012596094,24.992881159109814,23.901668548583984,38.7971305847168,25.785037994384766,25.0,43.41434306928983,25.754520553874684
2039,30-09-2020 23:28:52,22.707561456543875,49.65835714288872,24.959737223552214,23.90166664123535,38.7971305847168,25.785037994384766,25.0,43.414346088812536,25.75451897362481
2040,30-09-2020 23:28:59,22.542571435526387,47.39979688439054,24.992881159109814,23.90166664123535,38.79712677001953,25.785037994384766,25.0,43.41434910833501,25.754517393503935
2041,30-09-2020 23:29:09,22.313329014448012,50.11666031531005,24.93657006844,23.90166664123535,38.797122955322266,25.785036087036133,25.0,43.41435212785721,25.754515813512047
2042,30-09-2020 23:29:14,22.36924416819896,49.49959953967275,24.959737223552214,23.90166664123535,38.797122955322266,25.785036087036133,25.0,43.41435514737917,25.754514233649143
2043,30-09-2020 23:29:19,22.28153024441433,47.15288964003226,24.992881159109814,23.90166473388672,38.797119140625,25.785036087036133,25.0,43.41435816690086,25.75451265391521
2044,30-09-2020 23:29:30,22.95549538983725,49.36175893835163,24.959737223552214,23.90166473388672,38.797119140625,25.7850341796875,25.0,43.41436118642231,25.754511074310237
2045,30-09-2020 23:29:38,22.648094550709107,47.895040157839205,24.992881159109814,23.90166473388672,38.797115325927734,25.7850341796875,25.0,43.41436420594349,25.754509494834213
2046,30-09-2020 23:29:43,22.360628496158704,49.38910526090617,24.959737223552214,23.901662826538086,38.797115325927734,25.7850341796875,25.0,43.41436722546444,25.754507915487128
2047,30-09-2020 23:29:48,22.293075910931375,46.74427615712756,25.002857939555195,23.90166473388672,38.79711151123047,25.7850341796875,25.0,43.41437024498511,25.75450633626897
2048,30-09-2020 23:29:55,22.447455314003793,47.84874726880267,24.992881159109814,23.901662826538086,38.79711151123047,25.7850341796875,25.0,43.41437326450554,25.75450475717973
2049,30-09-2020 23:30:02,22.484738342981238,47.38679282355466,24.992881159109814,23.901662826538086,38.79711151123047,25.7850341796875,25.0,43.41437628402571,25.754503178219398
2050,30-09-2020 23:30:07,22.769993763431188,49.82385743382175,24.959737223552214,23.901660919189453,38.7971076965332,25.7850341796875,25.0,43.41437930354563,25.754501599387964
2051,30-09-2020 23:30:12,22.11471070682709,47.302479250862824,24.992881159109814,23.901660919189453,38.7971076965332,25.7850341796875,25.0,43.41438232306529,25.754500020685416
2052,30-09-2020 23:30:17,22.89540490640327,47.305693842842004,24.992881159109814,23.901660919189453,38.7971076965332,25.7850341796875,25.0,43.4143853425847,25.754498442111743
2053,30-09-2020 23:30:22,22.953353326588815,46.26625275259521,25.002857939555195,23.901660919189453,38.7971076965332,25.7850341796875,25.0,43.41438836210385,25.754496863666933
2054,30-09-2020 23:30:29,22.97273604330895,47.33764918970001,24.992881159109814,23.901660919189453,38.79710388183594,25.7850341796875,25.0,43.41439138162275,25.75449528535098
2055,30-09-2020 23:30:35,22.183865624316752,49.30071229650856,24.959737223552214,23.901660919189453,38.79710388183594,25.7850341796875,25.0,43.414394401141394,25.75449370716387
